=== linkage suite started at 2026-04-27 17:01:14 ===
2026-04-27 19:13:52 | Aggregation | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | Aggregation | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca | average | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca | single | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca_modified | single | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | BBC | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca | average | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca | single | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca_modified | single | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | Ecoli | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca | average | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca | single | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca_modified | single | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | GLIOMA | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca | average | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca | single | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca_modified | single | skipped_existing
